Run #,Apogee Time (s),Launch Time (s),Burnout Time (s),Ground Hit Time (s),Max X Position (m),Max Altitude (m),Max Velocity Z (m/s),Landing X Pos (m),Landing Lon (deg),Landing Lat (deg),Thrust Scale Factor,Random Parameters
1792,46.196,0,4.3,494.9186833,5863.214538,12004.35362,692.8435228,5863.214538,-81.72112208,48.04931783,-0.226011624,"{'gross_weight': 49172.83285363074, 'diameter': 0.13090128019980551, 'launch_rod_length': 1.9126295785352965, 'launch_temperature': 279.2135614947509, 'wind_direction': 3.962886248467883, 'wind_speed_average': 8.042968136000756, 'wind_turbulence_intensity': -7.11895908178399, 'launch_rod_angle': -0.2143609630265604, 'launch_rod_direction': 1.5666584430157893, 'separation_delay_charge': 0.03898730779090281, 'wind_standard_deviation': 0.6283521725666276}"
1793,44.50632813,0,4.3,475.6165357,4.96E-08,11268.20775,668.3913561,-120.3785422,-81.80161583,47.93361868,-2.922545367,"{'gross_weight': 49166.61448506953, 'diameter': 0.1315158259605403, 'launch_rod_length': 1.5285873849525649, 'launch_temperature': 279.3023218995339, 'wind_direction': 0.010636762938664779, 'wind_speed_average': 3.539950307185654, 'wind_turbulence_intensity': 2.293008944594059, 'launch_rod_angle': -0.2692741271822289, 'launch_rod_direction': 1.5729720692457851, 'separation_delay_charge': 0.6194649361061612, 'wind_standard_deviation': -4.509535657345694}"
1794,44.55723366,0,4.3,479.9028648,4.46E-07,11404.41006,677.8862522,-661.1027037,-81.80889376,48.04897414,4.054916239,"{'gross_weight': 49171.76843575396, 'diameter': 0.1305690058078083, 'launch_rod_length': 1.6470763261609633, 'launch_temperature': 296.32529811613676, 'wind_direction': 3.0234973595571555, 'wind_speed_average': -1.3707574916944996, 'wind_turbulence_intensity': 0.9575715339794543, 'launch_rod_angle': -0.21435629594208672, 'launch_rod_direction': 1.4609497960631501, 'separation_delay_charge': -0.18084746768280469, 'wind_standard_deviation': 3.8687913317599243}"
1795,45.586,0,4.3,488.751037,4.04E-06,11801.97992,689.4574255,-7530.834897,-81.9011799,47.98180598,-1.197230914,"{'gross_weight': 49172.54219671785, 'diameter': 0.13120364869376497, 'launch_rod_length': 1.894905246409564, 'launch_temperature': 292.9839934058228, 'wind_direction': 1.309418775150181, 'wind_speed_average': 6.459130382607549, 'wind_turbulence_intensity': -5.549388219567493, 'launch_rod_angle': -0.23864506820261513, 'launch_rod_direction': 1.5666143144648896, 'separation_delay_charge': 0.029034147598047046, 'wind_standard_deviation': -9.28681882248827}"
1796,46.466,0,4.3,497.8355533,1040.266121,12117.27208,696.9928259,1040.266121,-81.78600168,48.06257552,1.212209273,"{'gross_weight': 49173.390215688676, 'diameter': 0.13059147581574532, 'launch_rod_length': 1.8868212554254318, 'launch_temperature': 279.382287723953, 'wind_direction': 3.293028158203824, 'wind_speed_average': 7.144557639593401, 'wind_turbulence_intensity': 0.6042612868434988, 'launch_rod_angle': -0.192539120770163, 'launch_rod_direction': 1.6187673378841891, 'separation_delay_charge': -0.07913982562831733, 'wind_standard_deviation': -5.411181282324992}"
1797,45.776,0,4.3,492.9288949,1.78E-06,11920.38191,695.1400909,-4959.966888,-81.86675233,48.06923573,-0.284829546,"{'gross_weight': 49174.76651743222, 'diameter': 0.1312980988431484, 'launch_rod_length': 2.240028136904983, 'launch_temperature': 295.4526942081551, 'wind_direction': 2.5715667411147622, 'wind_speed_average': 10.328171673349896, 'wind_turbulence_intensity': -9.747481788357213, 'launch_rod_angle': -0.18565786598647968, 'launch_rod_direction': 1.5796243182346477, 'separation_delay_charge': 0.16253642785100655, 'wind_standard_deviation': 3.521498369744453}"
1798,42.97532598,0,4.3,461.4420906,3.49E-06,10704.18456,654.7939166,-6081.518917,-81.88166025,47.95178779,1.88237911,"{'gross_weight': 49154.85589506965, 'diameter': 0.13054546740805914, 'launch_rod_length': 1.7897095994486727, 'launch_temperature': 305.0667289848146, 'wind_direction': 0.8468394438741489, 'wind_speed_average': 3.6998846443142255, 'wind_turbulence_intensity': -0.8909883809646257, 'launch_rod_angle': -0.26905895805420293, 'launch_rod_direction': 1.6057456733119486, 'separation_delay_charge': -0.32034646681038714, 'wind_standard_deviation': 6.035254978762915}"
1799,45.486,0,4.3,486.8690887,522.5988492,11802.15297,692.5629306,522.5988492,-81.79298848,47.90957146,1.174603482,"{'gross_weight': 49172.57523369228, 'diameter': 0.13056061660655272, 'launch_rod_length': 1.4090164656764121, 'launch_temperature': 304.6303493645951, 'wind_direction': -0.056204640479861956, 'wind_speed_average': 11.493486190842049, 'wind_turbulence_intensity': 7.047928601150644, 'launch_rod_angle': -0.22788813919883655, 'launch_rod_direction': 1.6204221006625072, 'separation_delay_charge': 0.07376719909515035, 'wind_standard_deviation': -3.203250256175109}"
1800,44.525,0,4.3,476.1496062,2.55E-06,11371.26959,675.6995424,-3596.927598,-81.84838059,48.03980648,1.151658096,"{'gross_weight': 49176.24016131285, 'diameter': 0.13130441790998315, 'launch_rod_length': 1.9336785605835054, 'launch_temperature': 299.29296623029165, 'wind_direction': 2.462582550227516, 'wind_speed_average': -1.5660727655798592, 'wind_turbulence_intensity': 1.4776854493066487, 'launch_rod_angle': -0.23115466188912806, 'launch_rod_direction': 1.5109672905477591, 'separation_delay_charge': 0.5137553821721909, 'wind_standard_deviation': -2.769320532325037}"
1801,42.05084949,0,4.3,458.5676506,2.45E-06,10202.52623,628.6890556,-5713.11236,-81.87670155,47.94378291,3.022545075,"{'gross_weight': 49164.033925456635, 'diameter': 0.13086623116847604, 'launch_rod_length': 2.049731880955293, 'launch_temperature': 274.5987762469726, 'wind_direction': 0.7385393850661534, 'wind_speed_average': 2.9602994715387205, 'wind_turbulence_intensity': 2.036253034745612, 'launch_rod_angle': -0.20534865873692434, 'launch_rod_direction': 1.5092825585641412, 'separation_delay_charge': -0.022372724056731855, 'wind_standard_deviation': 8.638430900271775}"
1802,44.57121618,0,4.3,489.2133549,8.34E-07,11415.5816,680.7313925,-1000.60141,-81.81343834,47.96199326,2.561136544,"{'gross_weight': 49176.08053250624, 'diameter': 0.13003601735670356, 'launch_rod_length': 1.8323930382152098, 'launch_temperature': 290.98277422994374, 'wind_direction': 0.2238998998532995, 'wind_speed_average': -0.023372028374449627, 'wind_turbulence_intensity': -0.20592410244088757, 'launch_rod_angle': -0.21263361901957403, 'launch_rod_direction': 1.598431389349608, 'separation_delay_charge': 0.3133930496009784, 'wind_standard_deviation': 8.581169594991472}"
1803,45.756,0,4.3,490.8273086,5355.57061,11885.75246,692.1299065,5355.57061,-81.72804788,47.98023435,3.896711589,"{'gross_weight': 49173.2781043902, 'diameter': 0.1309528241946882, 'launch_rod_length': 1.5873311429852512, 'launch_temperature': 293.64500809569597, 'wind_direction': -1.1823038012486844, 'wind_speed_average': 2.6527622228442134, 'wind_turbulence_intensity': -3.085230374933925, 'launch_rod_angle': -0.20367927310570963, 'launch_rod_direction': 1.5270307089626818, 'separation_delay_charge': -0.2986932394752451, 'wind_standard_deviation': -6.2589588240993}"
1804,44.966,0,4.3,481.3923418,6308.438292,11556.32834,681.7235075,6308.438292,-81.71523655,47.98604462,-1.654702764,"{'gross_weight': 49167.68259984066, 'diameter': 0.13071520067170114, 'launch_rod_length': 1.7374461646803439, 'launch_temperature': 296.99198292656484, 'wind_direction': -1.3293675482316778, 'wind_speed_average': 2.5671927957461222, 'wind_turbulence_intensity': -5.44296043654936, 'launch_rod_angle': -0.23950535047050364, 'launch_rod_direction': 1.6823820941022356, 'separation_delay_charge': 0.42887990772162815, 'wind_standard_deviation': -4.797376174787126}"
1805,45.06632813,0,4.3,482.0955973,4508.714845,11597.38064,683.8984215,4508.714845,-81.73944136,47.96662546,-1.914043403,"{'gross_weight': 49174.808253830866, 'diameter': 0.13037995069766234, 'launch_rod_length': 1.9704755173705741, 'launch_temperature': 295.9784053961658, 'wind_direction': -0.8850820553346654, 'wind_speed_average': 1.9448585150367128, 'wind_turbulence_intensity': 1.9907393991412752, 'launch_rod_angle': -0.21845081789658782, 'launch_rod_direction': 1.570876334241308, 'separation_delay_charge': -0.023228390929380924, 'wind_standard_deviation': -1.9745166022484422}"
