Run #,Apogee Time (s),Launch Time (s),Burnout Time (s),Ground Hit Time (s),Max X Position (m),Max Altitude (m),Max Velocity Z (m/s),Landing X Pos (m),Landing Lon (deg),Landing Lat (deg),Thrust Scale Factor,Random Parameters
759,34.194,0,7.254,332.450885,3.57E-06,6008.071407,433.8091211,-3250.375339,-81.84368061,47.99417759,2.449934727,"{'gross_weight': 13.52840821630541, 'diameter': 0.13110991058034974, 'launch_rod_length': 1.7426190476585321, 'launch_temperature': 302.24538164683685, 'wind_direction': 1.3751117866552296, 'wind_speed_average': 2.736356745892248, 'wind_turbulence_intensity': 1.1571752604416619, 'launch_rod_angle': -0.20386731674825653, 'launch_rod_direction': 1.579838036290893, 'separation_delay_charge': 0.32237973190992486, 'wind_standard_deviation': 1.0156748416793633}"
760,34.0038671,0,7.254,333.3379498,4.08E-06,5938.65212,432.0490289,-3254.066795,-81.84373229,47.99662561,2.845005406,"{'gross_weight': 22.41031839103072, 'diameter': 0.13117468111403327, 'launch_rod_length': 2.015762019068132, 'launch_temperature': 296.24769285837345, 'wind_direction': 1.4573011269958482, 'wind_speed_average': 2.3465803044940605, 'wind_turbulence_intensity': 3.3525775244562386, 'launch_rod_angle': -0.23256602118205974, 'launch_rod_direction': 1.5932143096739066, 'separation_delay_charge': -0.41079501791528567, 'wind_standard_deviation': 3.046310287313883}"
761,33.994,0,7.254,334.8438465,3.28E-06,5933.654168,431.9105169,-3846.062647,-81.8517059,48.01420674,0.623281211,"{'gross_weight': 15.325361942920688, 'diameter': 0.13106113243980932, 'launch_rod_length': 1.7413322458009823, 'launch_temperature': 287.96294179354146, 'wind_direction': 1.962717996862784, 'wind_speed_average': 5.595735774527541, 'wind_turbulence_intensity': -8.485026095635469, 'launch_rod_angle': -0.1986993792048095, 'launch_rod_direction': 1.6011437015187981, 'separation_delay_charge': 0.26788809005584635, 'wind_standard_deviation': 2.519064986797726}"
762,3.520536307,0,7.254,14.14512614,186.0370446,180.7156261,97.43806774,186.0370446,-81.7974996,48.00074948,1.360767158,"{'gross_weight': 5.064988602548436, 'diameter': 0.13043374504443841, 'launch_rod_length': 2.0746932789034678, 'launch_temperature': 293.26045370353745, 'wind_direction': 4.291165701086635, 'wind_speed_average': 11.883720389701228, 'wind_turbulence_intensity': 2.0183355370187592, 'launch_rod_angle': -0.15408835111904381, 'launch_rod_direction': 1.5489353145441702, 'separation_delay_charge': 0.3063546026634074, 'wind_standard_deviation': -0.24694122594837936}"
763,34.134,0,7.254,336.1338665,1.72E-06,5973.129592,434.3787,-1774.585948,-81.82386302,48.02661805,2.877709661,"{'gross_weight': 18.259880049097347, 'diameter': 0.13015836413684598, 'launch_rod_length': 1.7513208479290123, 'launch_temperature': 281.4310501085199, 'wind_direction': 2.6039258576727526, 'wind_speed_average': 4.928265995382941, 'wind_turbulence_intensity': -1.410742047005112, 'launch_rod_angle': -0.18783838007149656, 'launch_rod_direction': 1.500501889836311, 'separation_delay_charge': 0.3501764432717295, 'wind_standard_deviation': -1.3514839366850044}"
764,33.4480625,0,7.254,327.8676323,2.19E-06,5796.705147,428.3247849,-2079.027663,-81.82792729,47.97199383,-2.380550257,"{'gross_weight': 18.91248372490555, 'diameter': 0.1296271620978807, 'launch_rod_length': 1.5709499195600836, 'launch_temperature': 289.58080082332935, 'wind_direction': 0.5857654282370881, 'wind_speed_average': 4.101557180082916, 'wind_turbulence_intensity': 3.266310283658905, 'launch_rod_angle': -0.22383273693875066, 'launch_rod_direction': 1.5090168944939597, 'separation_delay_charge': -0.5967686377937652, 'wind_standard_deviation': 2.940474688302273}"
765,33.4880625,0,7.254,323.1289837,3.97E-06,5775.89741,424.0893735,-3053.037393,-81.84103657,48.0041275,-2.35187294,"{'gross_weight': 12.624400569775633, 'diameter': 0.1313614970117357, 'launch_rod_length': 1.9863352024587473, 'launch_temperature': 299.3207578357563, 'wind_direction': 1.722482591786273, 'wind_speed_average': -0.28852264172787656, 'wind_turbulence_intensity': -0.3671008940181984, 'launch_rod_angle': -0.226878624331757, 'launch_rod_direction': 1.4642116839997654, 'separation_delay_charge': 0.3472438367426537, 'wind_standard_deviation': -5.7398306720774075}"
766,5.264735311,0,7.254,19.41904317,41.11425822,236.084321,92.50277115,41.11425822,-81.7994474,48.00188452,1.032723335,"{'gross_weight': 10.984227878975112, 'diameter': 0.13182399534917263, 'launch_rod_length': 1.628110371572407, 'launch_temperature': 301.3568179701101, 'wind_direction': 3.3346401029012, 'wind_speed_average': 5.17337365408104, 'wind_turbulence_intensity': 1.8747083315446362, 'launch_rod_angle': -0.21103608581257932, 'launch_rod_direction': 1.5633244755053362, 'separation_delay_charge': 0.14341975555965764, 'wind_standard_deviation': 6.7334510378459544}"
767,34.0580625,0,7.254,332.6778848,3037.86191,5956.212732,434.6342467,3037.86191,-81.75918655,47.97992888,-3.665590856,"{'gross_weight': 18.848859400161576, 'diameter': 0.12924528103126792, 'launch_rod_length': 1.8349386451508731, 'launch_temperature': 289.73454503365156, 'wind_direction': -0.9388726077229932, 'wind_speed_average': 6.285472663232561, 'wind_turbulence_intensity': -2.886473379698496, 'launch_rod_angle': -0.18587547620734257, 'launch_rod_direction': 1.5724687239159758, 'separation_delay_charge': -0.04365094294855108, 'wind_standard_deviation': -1.9317060961935986}"
768,5.001481569,0,7.254,18.99509287,3.56E-06,236.0253125,103.8650257,-237.5680311,-81.80319301,48.00089566,0.918627306,"{'gross_weight': 12.764433666733098, 'diameter': 0.13119761942689073, 'launch_rod_length': 1.471158841440054, 'launch_temperature': 294.97167282569836, 'wind_direction': 1.9677454529721452, 'wind_speed_average': 15.315952850673533, 'wind_turbulence_intensity': -1.845810579553127, 'launch_rod_angle': -0.21717051596438428, 'launch_rod_direction': 1.603574418298608, 'separation_delay_charge': 0.5753821578810642, 'wind_standard_deviation': -2.2269160506236405}"
769,33.86940382,0,7.254,329.2762232,3.41E-06,5893.300368,428.6649774,-3266.269825,-81.84391132,48.01428099,2.296548218,"{'gross_weight': 25.981447058241503, 'diameter': 0.13121272277130996, 'launch_rod_length': 1.8417974932466517, 'launch_temperature': 302.4780685827966, 'wind_direction': 2.0258188625425873, 'wind_speed_average': 2.822545488334221, 'wind_turbulence_intensity': -1.1076675473561208, 'launch_rod_angle': -0.21377724561011743, 'launch_rod_direction': 1.5930325510899428, 'separation_delay_charge': -0.2751701997465914, 'wind_standard_deviation': 2.909277041952086}"
770,3.85556349,0,7.254,17.7553838,3.03E-06,236.7025085,115.741078,-354.2067146,-81.80476053,47.99929867,0.795853257,"{'gross_weight': 19.48364089742644, 'diameter': 0.13064538715464308, 'launch_rod_length': 1.815818206555618, 'launch_temperature': 290.8543239276092, 'wind_direction': 1.3541390539711227, 'wind_speed_average': 11.144364845912516, 'wind_turbulence_intensity': -2.3022400594251136, 'launch_rod_angle': -0.1723529767732606, 'launch_rod_direction': 1.531101836417657, 'separation_delay_charge': 0.018987744465940717, 'wind_standard_deviation': -3.999135016314178}"
771,3.617582079,0,7.254,13.0766332,120.0393113,153.0989302,78.69970159,120.0393113,-81.79838666,47.99978032,2.876014288,"{'gross_weight': 4.748183053749161, 'diameter': 0.13045339336828635, 'launch_rod_length': 2.0504569593645643, 'launch_temperature': 296.309523279591, 'wind_direction': -1.3700867010054671, 'wind_speed_average': 12.200604545414109, 'wind_turbulence_intensity': -3.343359319299763, 'launch_rod_angle': -0.19741635397811932, 'launch_rod_direction': 1.6094028572125718, 'separation_delay_charge': 0.44158333548069933, 'wind_standard_deviation': 3.6718214933067665}"
